league,location_id,stadium,stadium_capacity,city,state,latitude,longitude
NBA,1,TD Garden,0,Boston,MA,42.3662986,-71.06216222263835
NBA,2,crypto.com Arena,0,Los Angeles,CA,34.0429979,-118.2671352463293
NBA,3,Little Caesars Arena,0,Detroit,MI,42.3409774,-83.05495452754165
NBA,4,State Farm Arena,0,Atlanta,GA,33.7573698,-84.39638483503104
NBA,5,Kaseya Center,0,Miami,FL,25.781359549999998,-80.18794351626137
NBA,6,Wells Fargo Center,0,Philadelphia,PA,39.901100400000004,-75.17201654615069
NBA,7,Scotiabank Arena,0,Toronto,ON,43.64343375,-79.37907772483726
NBA,8,Toyota Center (Houston),0,Houston,TX,29.75074725,-95.36223151477087
NBA,9,Smoothie King Center,0,New Orleans,LA,29.94903925,-90.08206899587637
NBA,10,Delta Center,0,Salt Lake City,UT,40.76832735,-111.90105507486473
NBA,11,Intuit Dome,0,Inglewood,CA,33.9441366,-118.34216213765218
NBA,12,Moda Center,0,Portland,OR,45.5315787,-122.66683365218687
NBA,13,Capital One Arena,0,Washington,DC,38.8981883,-77.0209377602636
NBA,14,American Airlines Center,0,Dallas,TX,32.7905076,-96.81027213460834
NBA,15,Ball Arena,0,Denver,CO,39.748683799999995,-105.00754401780362
NBA,16,Golden 1 Center,0,Sacramento,CA,38.58014045,-121.49950076409176
NBA,17,Kia Center,0,Orlando,FL,28.53927385,-81.38400713924818
NBA,18,Rocket Mortgage FieldHouse,0,Cleveland,OH,41.4966862,-81.68857538921003
NBA,19,Madison Square Garden,0,New York,NY,40.750512900000004,-73.99351594545152
NBA,20,Fiserv Forum,0,Milwaukee,WI,43.04500955,-87.91748710581575
NBA,21,Spectrum Center,0,Charlotte,NC,35.225098,-80.83915411814897
NBA,22,United Center,0,Chicago,IL,41.88068305,-87.67418510441388
NBA,23,FedExForum,0,Memphis,TN,35.1382401,-90.05069457768097
NBA,24,Target Center,0,Minneapolis,MN,44.979512650000004,-93.27609502567992
NBA,25,Frost Bank Center,0,San Antonio,TX,29.4270504,-98.43750706398404
NBA,26,Footprint Center,0,Phoenix,AZ,33.4460392,-112.07110129629386
NBA,27,Gainbridge Fieldhouse,0,Indianapolis,IN,39.7639331,-86.15550794973416
NBA,28,Barclays Center,0,Brooklyn,NY,40.68251055,-73.97525186658912
NBA,29,Paycom Center,0,Oklahoma City,OK,35.46339605,-97.51508150130435
NBA,30,Chase Center,0,San Francisco,CA,37.767892700000004,-122.38740721330376
NBA,31,Arena Ciudad de Mexico,0,Mexico City ,,19.49760965,-99.1752355999221
